eixo;rotulo_kmz;altura_m;cota_eixo_m;cota_NA_m;cota_crista_m;area_controlada_km2;L_crista_m;V_aterro_hm3;area_alagada_km2;volume_hm3;custo_total_MRS
E06;EIXO#02;30;239,0;269,0;272,0;7497,2;443,9;0,784;7,93;142,6;148,2
E06;EIXO#02;35;239,0;274,0;277,0;7497,2;472,5;1,067;8,86;184,6;188,6
E06;EIXO#02;40;239,0;279,0;282,0;7497,2;529,8;1,406;10,26;233,0;238,9
E06;EIXO#02;45;239,0;284,0;287,0;7497,2;558,4;1,804;11,6;287,6;295,7
E06;EIXO#02;50;239,0;289,0;292,0;7497,2;644,3;2,267;13,18;349,4;362,5
E06;EIXO#02;55;239,0;294,0;297,0;7497,2;644,3;2,802;14,62;418,9;436,2
E06;EIXO#02;60;239,0;299,0;302,0;7497,2;673,0;3,41;16,35;496,6;520,9
E06;EIXO#02;65;239,0;304,0;307,0;7497,2;673,0;4,092;18,08;583,1;614,3
E06;EIXO#02;70;239,0;309,0;312,0;7497,2;730,2;4,85;19,91;678,6;718,1
E06;EIXO#02;75;239,0;314,0;317,0;7497,2;730,2;5,69;21,73;783,1;831,2
E06;EIXO#02;80;239,0;319,0;322,0;7497,2;730,2;6,611;23,59;896,4;954,4
E06;EIXO#02;85;239,0;324,0;327,0;7497,2;816,2;7,616;25,6;1019,2;1089,7
E06;EIXO#02;90;239,0;329,0;332,0;7497,2;816,2;8,713;27,78;1152,9;1236,2
E06;EIXO#02;95;239,0;334,0;337,0;7497,2;816,2;9,9;30,08;1298,1;1394,4
E06;EIXO#02;100;239,0;339,0;342,0;7497,2;816,2;11,178;32,28;1454,1;1563,1
E06;EIXO#02;105;239,0;344,0;347,0;7497,2;873,4;12,548;34,55;1621,5;1743,9
E06;EIXO#02;110;239,0;349,0;352,0;7497,2;873,4;14,014;36,86;1799,8;1936,1
E06;EIXO#02;115;239,0;354,0;357,0;7497,2;873,4;15,578;39,34;1990,4;2141,2
E06;EIXO#02;120;239,0;359,0;362,0;7497,2;873,4;17,238;42,11;2194,0;2359,7
E04;EIXO#03;10;293,0;303,0;306,0;3590,9;214,8;0,089;1,26;7,8;20,8
E04;EIXO#03;15;293,0;308,0;311,0;3590,9;214,8;0,163;1,6;15,1;31,8
E04;EIXO#03;20;293,0;313,0;316,0;3590,9;257,7;0,259;2,15;24,4;47,3
E04;EIXO#03;25;293,0;318,0;321,0;3590,9;257,7;0,382;2,69;36,5;65,5
E04;EIXO#03;30;293,0;323,0;326,0;3590,9;300,7;0,534;3,27;51,4;88,0
E04;EIXO#03;35;293,0;328,0;331,0;3590,9;343,6;0,72;3,89;69,5;114,8
E04;EIXO#03;40;293,0;333,0;336,0;3590,9;343,6;0,944;4,59;90,8;146,3
E04;EIXO#03;45;293,0;338,0;341,0;3590,9;415,2;1,208;5,3;115,5;183,5
E04;EIXO#03;50;293,0;343,0;346,0;3590,9;415,2;1,517;6,15;144,1;226,1
E04;EIXO#03;55;293,0;348,0;351,0;3590,9;458,2;1,872;7,22;177,5;276,3
E04;EIXO#03;60;293,0;353,0;356,0;3590,9;458,2;2,278;8,55;217,0;333,7
E04;EIXO#03;65;293,0;358,0;361,0;3590,9;501,1;2,737;10,14;263,7;399,5
E04;EIXO#03;70;293,0;363,0;366,0;3590,9;587,1;3,254;11,91;319,1;474,1
E04;EIXO#03;75;293,0;368,0;371,0;3590,9;673,0;3,841;13,54;382,8;556,2
E04;EIXO#03;80;293,0;373,0;376,0;3590,9;673,0;4,502;15,25;454,9;646,9
E04;EIXO#03;85;293,0;378,0;381,0;3590,9;673,0;5,238;16,94;535,3;746,6
E04;EIXO#03;90;293,0;383,0;386,0;3590,9;701,6;6,049;18,9;625,1;857,3
E04;EIXO#03;95;293,0;388,0;391,0;3590,9;2119,1;18,659;20,67;724,1;2415,5
E04;EIXO#03;100;293,0;393,0;396,0;3590,9;2233,7;21,34;22,45;832,0;2753,3
E04;EIXO#03;105;293,0;398,0;401,0;3590,9;2362,6;24,282;24,42;949,5;3124,1
E04;EIXO#03;110;293,0;403,0;406,0;3590,9;2405,5;27,489;26,47;1076,7;3526,7
E04;EIXO#03;115;293,0;408,0;411,0;3590,9;2448,5;30,966;28,51;1214,3;3962,0
E04;EIXO#03;120;293,0;413,0;416,0;3590,9;2491,4;34,718;30,58;1362,4;4430,9
E07;EIXO#04;10;168,5;178,5;181,5;7922,5;143,2;0,066;0,32;1,9;11,5
E07;EIXO#04;15;168,5;183,5;186,5;7922,5;186,1;0,12;0,42;3,7;19,1
E07;EIXO#04;20;168,5;188,5;191,5;7922,5;186,1;0,194;0,59;6,2;29,2
E07;EIXO#04;25;168,5;193,5;196,5;7922,5;229,1;0,288;0,95;9,9;43,2
E07;EIXO#04;30;168,5;198,5;201,5;7922,5;229,1;0,406;1,17;15,3;58,9
E07;EIXO#04;35;168,5;203,5;206,5;7922,5;257,7;0,549;1,4;21,8;78,0
E07;EIXO#04;40;168,5;208,5;211,5;7922,5;286,4;0,721;1,62;29,4;100,5
E07;EIXO#04;45;168,5;213,5;216,5;7922,5;286,4;0,923;1,83;38,0;126,4
E07;EIXO#04;50;168,5;218,5;221,5;7922,5;286,4;1,157;2,08;47,8;156,3
E07;EIXO#04;55;168,5;223,5;226,5;7922,5;329,3;1,423;2,32;58,9;190,5
E07;EIXO#04;60;168,5;228,5;231,5;7922,5;329,3;1,725;2,62;71,4;229,1
E07;EIXO#04;65;168,5;233,5;236,5;7922,5;329,3;2,063;2,88;85,1;271,7
E07;EIXO#04;70;168,5;238,5;241,5;7922,5;372,3;2,439;3,78;101,1;323,3
E07;EIXO#04;75;168,5;243,5;246,5;7922,5;415,2;2,857;9,2;139,6;407,5
E07;EIXO#04;80;168,5;248,5;251,5;7922,5;415,2;3,321;10,42;188,6;471,3
E07;EIXO#04;85;168,5;253,5;256,5;7922,5;458,2;3,832;11,99;244,2;543,4
E07;EIXO#04;90;168,5;258,5;261,5;7922,5;458,2;4,394;13,59;308,2;621,4
E07;EIXO#04;95;168,5;263,5;266,5;7922,5;458,2;5,005;15,44;380,6;706,9
E07;EIXO#04;100;168,5;268,5;271,5;7922,5;458,2;5,667;17,13;462,1;797,6
E07;EIXO#04;105;168,5;273,5;276,5;7922,5;544,1;6,384;18,72;551,7;895,2
E07;EIXO#04;110;168,5;278,5;281,5;7922,5;544,1;7,162;20,74;651,0;1002,1
E07;EIXO#04;115;168,5;283,5;286,5;7922,5;544,1;7,999;22,77;759,8;1116,1
E07;EIXO#04;120;168,5;288,5;291,5;7922,5;544,1;8,896;24,96;879,0;1238,4
E08;EIXO#05;10;149,5;159,5;162,5;8158,7;128,9;0,058;0,95;6,4;14,2
E08;EIXO#05;15;149,5;164,5;167,5;8158,7;186,1;0,108;1,34;12,3;23,3
E08;EIXO#05;20;149,5;169,5;172,5;8158,7;214,8;0,179;1,72;19,9;34,5
E08;EIXO#05;25;149,5;174,5;177,5;8158,7;214,8;0,273;2,25;29,7;49,1
E08;EIXO#05;30;149,5;179,5;182,5;8158,7;272,1;0,393;2,57;41,8;66,3
E08;EIXO#05;35;149,5;184,5;187,5;8158,7;272,1;0,542;2,95;55,5;86,7
E08;EIXO#05;40;149,5;189,5;192,5;8158,7;329,3;0,725;3,38;71,4;112,1
E08;EIXO#05;45;149,5;194,5;197,5;8158,7;386,6;0,945;4,09;90,0;143,8
E08;EIXO#05;50;149,5;199,5;202,5;8158,7;386,6;1,208;4,57;111,7;178,7
E08;EIXO#05;55;149,5;204,5;207,5;8158,7;443,9;1,514;5,13;136,1;219,9
E08;EIXO#05;60;149,5;209,5;212,5;8158,7;443,9;1,87;5,68;163,2;266,5
E08;EIXO#05;65;149,5;214,5;217,5;8158,7;472,5;2,275;6,23;193,0;319,4
E08;EIXO#05;70;149,5;219,5;222,5;8158,7;472,5;2,732;6,8;225,6;378,3
E08;EIXO#05;75;149,5;224,5;227,5;8158,7;472,5;3,24;7,4;261,1;443,7
E08;EIXO#05;80;149,5;229,5;232,5;8158,7;501,1;3,8;8,01;299,9;515,8
E08;EIXO#05;85;149,5;234,5;237,5;8158,7;501,1;4,415;8,64;341,6;594,3
E08;EIXO#05;90;149,5;239,5;242,5;8158,7;501,1;5,085;13,05;389,1;702,5
