eixo;fonte;area_km2;area_BHO_km2;aderencia_D8_BHO;distancia_BHO_m;ancoragem_por_intersecao;cota_eixo_m;lat;lon;tipo_geom;compr_eixo_m;codigo;ordem;n_montante;eixos_montante;area_incremental_km2
EIXO-B#00;EUROCLIMA-rev.kmz;2550,4;2547,2;1,0013;0,0;True;71,5;-29,06126;-51,71741;LineString;2212,1;E03;3;0;;2550,4
EIXO-FQ1-PROPOSTO — Forqueta inferior#01;eixos_forqueta_propostos.kmz;2350,1;2353,6;0,9985;0,0;True;22,5;-29,40296;-52,0297;LineString;1600,0;E02;2;1;E01;145,9
EIXO#02;EUROCLIMA-rev.kmz;7497,2;7587,3;0,9881;0,0;True;239,0;-28,95735;-51,31348;LineString;2857,2;E06;6;0;;7497,2
EIXO#03;EUROCLIMA-rev.kmz;3590,9;3591,7;0,9998;0,0;True;293,0;-28,85922;-51,46117;LineString;1672,8;E04;4;0;;3590,9
EIXO#04;EUROCLIMA-rev.kmz;7922,5;8012,6;0,9888;0,0;True;168,5;-29,06269;-51,36146;LineString;1773,9;E07;7;1;E06;425,3
EIXO#05;EUROCLIMA-rev.kmz;8158,7;8249,7;0,989;0,0;True;149,5;-29,0275;-51,4575;LineString;1191,5;E08;8;2;E06,E07;661,5
EIXO#06;EUROCLIMA-rev.kmz;8173,5;8264,0;0,9891;0,0;True;149,5;-29,01634;-51,47098;LineString;1146,3;E09;9;3;E06,E07,E08;676,3
EIXO-FQ2-PROPOSTO — Forqueta intermediário#07;eixos_forqueta_propostos.kmz;2204,2;2226,7;0,9899;0,0;True;40,0;-29,32262;-52,09083;LineString;1300,0;E01;1;0;;2204,2
EIXO#08;EUROCLIMA-rev.kmz;11950,1;12041,5;0,9924;0,0;True;148,5;-29,02562;-51,47867;LineString;1226,8;E10;10;6;E04,E05,E06,E07,E08,E09;862,0
EIXO#09;EUROCLIMA-rev.kmz;12330,0;12423,8;0,9924;0,0;True;106,0;-29,03899;-51,56402;LineString;1184,8;E11;11;7;E04,E05,E06,E07,E08,E09,E10;1241,9
EIXO#10;EUROCLIMA-rev.kmz;15456,5;15547,1;0,9942;0,0;True;57,5;-29,14765;-51,75363;LineString;1749,3;E13;13;10;E03,E04,E05,E06,E07,E08,E09,E10,E11,E12;1818,0
EIXO-A#11;EUROCLIMA-rev.kmz;15759,1;15852,0;0,9941;0,0;True;47,0;-29,16422;-51,83444;LineString;2573,6;E14;14;11;E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13;2120,6
EIXO-C#12;EUROCLIMA-rev.kmz;12777,2;12877,0;0,9923;0,0;True;72,0;-29,08303;-51,65489;LineString;1582,1;E12;12;8;E04,E05,E06,E07,E08,E09,E10,E11;1689,1
EIXO#13;EUROCLIMA-rev.kmz;3771,7;3776,0;0,9989;0,0;True;149,5;-29,00756;-51,46858;LineString;1106,7;E05;5;1;E04;180,8
