usina;cota_sl_m;cota_sgb_m;area_km2;volume_hm3;arquivo_fonte;registro_snirh;url_download
Castro Alves;189,1499999999999;188,9999999999999;0,0099064515047163;0,007965153050247399;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,2499999999999;189,09999999999988;0,010697274879857;0,0089946505359508;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,34999999999988;189,19999999999987;0,011493873711737001;0,010102914887077;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,44999999999987;189,29999999999987;0,012401298166274;0,011294038947853;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,54999999999987;189,39999999999986;0,013639267278711;0,01259447871036;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,64999999999986;189,49999999999986;0,014882787614482;0,014018433773383;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,74999999999986;189,59999999999985;0,016127244584208;0,015567797430459001;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,84999999999985;189,69999999999985;0,017481445386224002;0,017245040495185;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;189,94999999999985;189,79999999999984;0,018864967191969;0,019060075827756998;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;190,04999999999984;189,89999999999984;0,020269393572709;0,021013983686294;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;190,14999999999984;189,99999999999983;0,021685926052838;0,023111359715777997;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;190,24999999999983;190,09999999999982;0,023115880166075;0,02534858555759;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;190,34999999999982;190,19999999999982;0,024648311799485;0,027734103085348;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;190,44999999999982;190,2999999999998;0,026294955880967003;0,03027895559649;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
Castro Alves;190,5499999999998;190,3999999999998;0,027907051569441;0,032986297150248;UHE Castro Alves - CAV SNIRH.xlsx;b8f0487a-df73-4f8d-8b22-bb49cf9f3683;https://metadados.snirh.gov.br/files/b8f0487a-df73-4f8d-8b22-bb49cf9f3683/Castro_Alves.zip
