DatGeracaoConjuntoDados;CodEmpreendimento;CodCEG;NomEmpreendimento;NumCoordNEmpreendimento;NumCoordEEmpreendimento;IdeStatusHist;IdeUFHist;NumProcesso;NomEmpreendimentoHist;MdaPotencia;DscCursoDagua;DscValorAtoAtivacao;DatAtoAtivacao;DatValidadeAtoOriginal;DscEmpreendedores1;DscEmpreendedores2;DscEmpreendedoresN;DscNumeroAtoProrrogado;DatValidadeProrrogada;DatPublicacaoProrrogada;IdSubBacia;DscSubBacia;DatCargaHistorico;IdeUF;SigUF;NomUF;IdcStatus;DscStatus
2026-07-01;048923;PCH.PH.RS.048923-9;Ressaca;,00;,00;15;46;48100.003367/1995-27;Ressaca;30,000;Rio Ijuí;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048924;PCH.PH.RS.048924-7;Barra;,00;,00;15;46;48100.003367/1995-27;Barra;6,500;Rio Ijuí;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048925;PCH.PH.RS.048925-5;Palmeiras;,00;,00;15;46;48100.003367/1995-27;Palmeiras;7,000;Rio Palmeira;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048926;PCH.PH.RS.048926-3;Andorinhas II;,00;,00;15;46;48100.003367/1995-27;Andorinhas II;5,500;Potiribú;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048927;PCH.PH.RS.048927-1;Rincão de Porto Alegre;,00;,00;15;46;48100.003367/1995-27;Rincão de Porto Alegre;8,000;Rio Ijuizinho;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048928;PCH.PH.RS.048928-0;Passo da Cruz;,00;,00;15;46;48100.003367/1995-27;Passo da Cruz;6,800;Rio Conceição;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048929;PCH.PH.RS.048929-8;Bonito;,00;,00;15;46;48100.003367/1995-27;Bonito;18,000;Rio Piratinim;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048930;PCH.PH.RS.048930-1;Rio Jaguassango;,00;,00;15;46;48100.003367/1995-27;Rio Jaguassango;15,000;Rio Piratinim;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048931;PCH.PH.RS.048931-0;Campestre;,00;,00;15;46;48100.003367/1995-27;Campestre;13,500;Rio Piratinim;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048932;PCH.PH.RS.048932-8;Piratinim;,00;,00;15;46;48100.003367/1995-27;Piratinim;5,500;Rio Piratinim;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048933;PCH.PH.RS.048933-6;Rio Inhacapetum;,00;,00;15;46;48100.003367/1995-27;Rio Inhacapetum;5,500;Rio Inhacapetum;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048934;PCH.PH.RS.048934-4;Passo Novo;-28,68;-55,57;15;46;48100.003367/1995-27;Passo Novo;7,000;Rio Icamaquã;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048935;PCH.PH.RS.048935-2;Bom Sossego;,00;,00;15;46;48100.003367/1995-27;Bom Sossego;6,500;Rio Icamaquã;892;01/11/2001;; -; -; -;;;;75;Uruguai, Ijui, piratinim e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;15;Eixo Disponível
2026-07-01;048936;PCH.PH.MG.048936-0;Jequitaí I;-17,27;-44,38;15;26;48500.001200/2005-44;Jequitaí I;8,250;Jequitaí;324;21/02/2006;; -; -; -;;;;66;Alto Paraguai;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048937;PCH.PH.MG.048937-9;Jequitaí II;-17,25;-44,42;15;26;48500.001200/2005-44;Jequitaí II;12,400;Rio Jequitaí;324;21/02/2006;; -; -; -;;;;66;Alto Paraguai;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048939;PCH.PH.GO.048939-5;Luziânia;-16,26;-47,79;15;18;48500.003093/2007-02;Luziânia;8,500;Rio São Bartolomeu;2018;19/06/2012;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;048940;PCH.PH.MG.048940-9;Martins Alto;-18,81;-48,39;15;26;48500.004106/2001-69;Martins Alto;28,500;Uberabinha;654;23/09/2003;; -; -; -;;;;60;Paranaiba;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;048941;PCH.PH.PR.048941-7;Matão;-25,72;-51,22;15;39;48500.004995/2000-74;Matão;5,500;da Areia;333;06/06/2002;; -; -; -;;;;65;Parana, Iguacu;2026-06-30 09:43:52.357000000;39;PR;Paraná;15;Eixo Disponível
