Protocolo_S2iD;Nome_Municipio;Sigla_UF;Cod_Cobrade;tipologia;descricao_tipologia;grupo_de_desastre;Cod_IBGE_Mun;Status;DH_MORTOS;DH_FERIDOS;DH_ENFERMOS;DH_DESABRIGADOS;DH_DESALOJADOS;DH_DESAPARECIDOS;DH_total_danos_humanos_diretos;DH_OUTROS AFETADOS;DM_total_danos_materiais;PEPL_total_publico;PEPR_total_privado;PE_PLePR;data_evento;data_registro;recorte
RS-F-4322608-12200-20140629;Venâncio Aires;RS;12200;2.00;Enxurradas;Hidrológico;4322608;Reconhecido;0;0;0;0;12000;0;12000;0;17311129,27;7360410,92;13997071,98;21357482,9;2014-07-29;2014-07-29;historico_hidrologico
RS-F-4311403-12100-20141019;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;4;8;0;12;0;0,0;0,0;0,0;0,0;2014-11-02;2014-11-02;historico_hidrologico
RS-F-4301008-13214-20150717;Arroio do Meio;RS;13214;13.00;Chuvas Intensas;Hidrológico;4301008;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2015-07-24;2015-07-24;historico_hidrologico
RS-F-4311403-12100-20150715;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;5;8;0;13;0;0,0;0,0;0,0;0,0;2015-09-14;2015-09-14;historico_hidrologico
RS-F-4307807-12200-20150713;Estrela;RS;12200;2.00;Enxurradas;Hidrológico;4307807;Registro;0;0;0;0;0;0;0;0;272848,97;0,0;0,0;0,0;2015-09-14;2015-09-14;historico_hidrologico
RS-F-4312153-12300-20151008;Mato Leitão;RS;12300;1.00;Alagamentos;Hidrológico;4312153;Registro;0;0;0;0;20;0;20;0;209048,82;0,0;0,0;0,0;2015-10-13;2015-10-13;historico_hidrologico
RS-F-4322608-12100-20151009;Venâncio Aires;RS;12100;7.00;Inundações;Hidrológico;4322608;Registro;0;1;0;56;200;0;257;1756;5089496,68;1330757,83;15609910,43;16940668,27;2015-10-14;2015-10-14;historico_hidrologico
RS-F-4301008-13214-20151013;Arroio do Meio;RS;13214;13.00;Chuvas Intensas;Hidrológico;4301008;Reconhecido;0;0;0;10;35;0;45;0;2701622,0;0,0;57393,15;57393,15;2015-10-14;2015-10-14;historico_hidrologico
RS-F-4302352-12100-20151015;Bom Princípio;RS;12100;7.00;Inundações;Hidrológico;4302352;Reconhecido;0;0;0;0;9;0;9;5600;13862549,09;0,0;0,0;0,0;2015-10-15;2015-10-15;historico_hidrologico
RS-F-4311403-12100-20150920;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;13;29;0;42;0;0,0;0,0;0,0;0,0;2015-10-22;2015-10-22;historico_hidrologico
