Protocolo_S2iD;Nome_Municipio;Sigla_UF;Cod_Cobrade;tipologia;descricao_tipologia;grupo_de_desastre;Cod_IBGE_Mun;Status;DH_MORTOS;DH_FERIDOS;DH_ENFERMOS;DH_DESABRIGADOS;DH_DESALOJADOS;DH_DESAPARECIDOS;DH_total_danos_humanos_diretos;DH_OUTROS AFETADOS;DM_total_danos_materiais;PEPL_total_publico;PEPR_total_privado;PE_PLePR;data_evento;data_registro;recorte
RS-F-4316758-13214-20240430;Santa Clara do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4316758;Reconhecido;0;1;0;0;60;0;61;0;0,0;0,0;0,0;0,0;2024-04-30;2024-04-30;2024_hidrologico
RS-F-4311403-13214-20240501;Lajeado;RS;13214;13.00;Chuvas Intensas;Hidrológico;4311403;Reconhecido;2;60;0;1326;5000;3;6391;65000;0,0;0,0;0,0;0,0;2024-05-01;2024-05-04;maio_2024_hidrologico
RS-F-4321303-13214-20240501;Taquari;RS;13214;13.00;Chuvas Intensas;Hidrológico;4321303;Reconhecido;2;0;0;90;894;0;986;24214;0,0;0,0;0,0;0,0;2024-05-01;2024-05-01;maio_2024_hidrologico
RS-F-4306809-13214-20240501;Encantado;RS;13214;13.00;Chuvas Intensas;Hidrológico;4306809;Reconhecido;1;12;0;726;923;2;1664;21298;0,0;0,0;0,0;0,0;2024-05-01;2024-05-04;maio_2024_hidrologico
RS-F-4302402-13214-20240501;Bom Retiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302402;Reconhecido;0;0;0;55;1400;0;1455;2500;0,0;0,0;0,0;0,0;2024-05-01;2024-05-04;maio_2024_hidrologico
RS-F-4305587-13214-20240501;Colinas;RS;13214;13.00;Chuvas Intensas;Hidrológico;4305587;Reconhecido;0;80;200;200;1150;0;1630;1030;6431928,95;1936494,74;17833535,73;19770030,47;2024-05-01;2024-05-03;maio_2024_hidrologico
RS-F-4307807-12100-20240503;Estrela;RS;12100;7.00;Inundações;Hidrológico;4307807;Reconhecido;2;0;0;1100;4000;1;5103;32183;0,0;0,0;0,0;0,0;2024-05-03;2024-05-03;maio_2024_hidrologico
RS-F-4308078-13214-20240504;Fazenda Vilanova;RS;13214;13.00;Chuvas Intensas;Hidrológico;4308078;Reconhecido;0;0;0;0;0;0;0;4291;494003,76;0,0;2297809,09;2297809,09;2024-05-04;2024-05-07;maio_2024_hidrologico
RS-F-4315800-13214-20240512;Roca Sales;RS;13214;13.00;Chuvas Intensas;Hidrológico;4315800;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2024-05-12;2024-05-13;maio_2024_hidrologico
RS-F-4311403-12100-20240617;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;300;500;0;800;0;0,0;0,0;0,0;0,0;2024-06-17;2024-06-20;2024_hidrologico
RS-F-4312609-13214-20250617;Muçum;RS;13214;13.00;Chuvas Intensas;Hidrológico;4312609;Reconhecido;0;0;0;0;0;0;0;1230;205000,0;205000,0;135195,0;340195,0;2025-06-17;2025-06-27;historico_hidrologico
RS-F-4320453-12200-20250617;Sério;RS;12200;2.00;Enxurradas;Hidrológico;4320453;Registro;0;0;0;0;0;0;0;2281;9000,0;0,0;250724,11;250724,11;2025-06-17;2025-07-21;historico_hidrologico
RS-F-4322608-13214-20250617;Venâncio Aires;RS;13214;13.00;Chuvas Intensas;Hidrológico;4322608;Registro;0;0;0;0;0;0;0;100;0,0;50000,0;0,0;50000,0;2025-06-17;2025-06-18;historico_hidrologico
RS-F-4302402-13214-20250618;Bom Retiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302402;Reconhecido;0;0;0;0;42;0;42;250;214746,2;94746,2;215000,0;309746,2;2025-06-18;2025-06-24;historico_hidrologico
RS-F-4311403-12100-20250618;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;261;95;0;356;32217;399000,0;16531,5;377625,75;394157,25;2025-06-18;2025-06-21;historico_hidrologico
RS-F-4312054-11331-20250618;Marques de Souza;RS;11331;8.00;Movimento de Massa;Hidrológico;4312054;Registro;0;0;0;8;22;0;30;0;15000000,0;0,0;0,0;0,0;2025-06-18;2025-06-18;historico_hidrologico
RS-F-4306205-13214-20250619;Cruzeiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4306205;Reconhecido;0;0;0;93;40;0;133;0;2818000,0;3330000,0;1178750,0;4508750,0;2025-06-19;2025-06-19;historico_hidrologico
RS-F-4315800-12200-20250619;Roca Sales;RS;12200;2.00;Enxurradas;Hidrológico;4315800;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2025-06-19;2025-06-30;historico_hidrologico
RS-F-4321303-13214-20250620;Taquari;RS;13214;13.00;Chuvas Intensas;Hidrológico;4321303;Reconhecido;0;0;0;23;13;0;36;0;2382405,7;2515405,7;127000,0;2642405,7;2025-06-20;2025-06-20;historico_hidrologico
RS-F-4307807-13214-20250624;Estrela;RS;13214;13.00;Chuvas Intensas;Hidrológico;4307807;Reconhecido;0;0;0;47;125;0;172;85;58850,0;58850,0;0,0;58850,0;2025-06-24;2025-06-24;historico_hidrologico
RS-F-4302402-13214-20250628;Bom Retiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302402;Registro;0;0;0;0;7;0;7;0;0,0;0,0;0,0;0,0;2025-06-28;2025-07-03;historico_hidrologico
RS-F-4311403-12100-20250629;Lajeado;RS;12100;7.00;Inundações;Hidrológico;4311403;Registro;0;0;0;147;56;0;203;0;0,0;0,0;194384,25;194384,25;2025-06-29;2025-07-01;historico_hidrologico
RS-F-4316758-13214-20251030;Santa Clara do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4316758;Registro;0;1;0;0;60;0;61;0;0,0;0,0;0,0;0,0;2025-10-30;2025-11-04;historico_hidrologico
RS-F-4315800-11321-20251108;Roca Sales;RS;11321;8.00;Movimento de Massa;Hidrológico;4315800;Registro;0;0;0;0;5;0;5;5;0,0;0,0;0,0;0,0;2025-11-08;2025-11-12;historico_hidrologico
RS-F-4302402-13214-20251208;Bom Retiro do Sul;RS;13214;13.00;Chuvas Intensas;Hidrológico;4302402;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2025-12-08;2025-12-10;historico_hidrologico
RS-F-4315800-11321-20251226;Roca Sales;RS;11321;8.00;Movimento de Massa;Hidrológico;4315800;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2025-12-26;2025-12-30;historico_hidrologico
